cart_id,user_id,item_id,quantity
1,3,8,3
2,7,541,3
3,7,44,3
4,10,537,1
5,12,527,2
6,13,508,2
7,15,347,3
8,15,256,3
9,16,121,2
10,20,404,1
11,21,528,1
12,21,475,3
13,22,59,2
14,28,412,2
15,33,421,1
16,34,8,1
17,34,257,1
18,38,550,2
19,41,166,1
20,52,491,3
21,53,122,2
22,53,501,3
23,55,131,2
24,56,410,3
25,57,399,1
26,63,243,1
27,64,351,2
28,65,9,2
29,65,492,2
30,69,524,1
31,71,270,3
32,75,106,3
33,76,186,1
34,77,153,1
35,77,124,1
36,84,390,2
37,86,237,1
38,90,312,1
39,99,218,2
40,101,104,2
41,101,190,2
42,102,343,2
43,104,566,1
44,106,371,3
45,107,542,3
46,109,216,3
47,111,134,3
48,112,124,1
49,114,196,1
50,114,457,1
51,118,207,3
52,119,45,1
53,123,356,2
54,125,447,1
55,128,23,1
56,128,281,3
57,129,297,1
58,129,63,3
59,131,507,3
60,139,212,1
61,144,526,2
62,144,516,3
63,145,266,2
64,146,304,3
65,152,285,1
66,154,255,1
67,158,378,2
68,163,302,2
69,164,11,2
70,164,225,3
71,165,181,2
72,165,17,3
73,166,109,3
74,167,392,3
75,169,565,1
76,170,226,2
77,173,405,1
78,177,96,2
79,177,186,2
80,179,194,3
81,181,289,1
82,183,404,3
83,184,72,1
84,187,413,1
85,189,13,3
86,194,45,1
87,198,14,1
88,199,109,3
89,199,347,3
90,202,455,1
91,213,426,1
92,220,394,3
93,220,116,2
94,224,366,1
95,224,342,1
96,226,87,1
97,226,155,1
98,231,309,3
99,232,357,1
100,237,79,1
101,237,153,3
102,241,490,1
103,244,149,1
104,247,362,2
105,250,342,1
106,250,252,2
107,255,394,1
108,259,225,3
109,263,372,3
110,267,370,1
111,267,302,2
112,269,432,1
113,272,121,3
114,273,387,3
115,275,381,1
116,275,109,3
117,284,427,1
118,286,541,3
119,287,422,3
120,289,14,2
121,297,514,2
122,298,434,1
123,302,411,3
124,305,80,3
125,308,390,1
126,321,317,1
127,323,34,1
128,325,46,3
129,325,496,1
130,329,290,2
131,329,513,1
132,334,340,2
133,335,516,1
134,337,25,3
135,338,489,3
136,339,39,2
137,341,81,3
138,343,221,3
139,344,165,3
140,346,536,2
141,352,397,1
142,354,77,1
143,356,100,1
144,356,147,2
145,358,90,2
146,358,97,2
147,360,166,1
148,360,287,3
149,364,265,2
150,365,453,3
151,365,144,1
152,366,500,1
153,367,411,2
154,368,133,2
155,372,519,2
156,374,44,3
157,375,59,3
158,375,251,3
159,376,9,1
160,377,298,2
161,385,477,1
162,387,407,2
163,391,498,1
164,391,488,1
165,396,328,3
166,398,390,1
167,399,371,2
168,403,434,2
169,409,463,2
170,411,266,1
171,412,95,2
172,414,169,1
173,418,165,3
174,420,399,1
175,422,149,2
176,423,325,1
177,427,117,3
178,432,129,3
179,434,100,1
180,434,224,3
181,435,560,1
182,436,222,2
183,439,15,2
184,440,17,2
185,441,515,1
186,442,467,2
187,447,117,1
188,454,448,3
189,456,102,1
190,457,107,1
191,458,422,1
192,460,558,1
193,461,516,3
194,462,297,2
195,464,565,2
196,466,128,2
197,467,476,2
198,467,406,1
199,468,230,3
200,468,291,2
201,469,271,2
202,471,5,2
203,474,532,3
204,477,248,3
205,478,198,3
206,478,403,1
207,479,440,1
208,480,400,3
209,485,130,3
210,489,267,3
211,495,157,1
212,496,557,1
213,499,465,3
214,500,367,1
