log_id,order_id,status,updated_at
1,1,Đã giao,2026-03-16 18:20:07
2,2,Đang xử lý,2026-06-02 04:15:07
3,3,Đang xử lý,2026-04-22 05:40:07
4,4,Đang xử lý,2026-04-19 13:30:07
5,5,Xác nhận,2026-04-02 04:10:07
6,6,Đang xử lý,2026-05-08 18:33:07
7,7,Đang chuẩn bị,2026-04-27 22:25:07
8,8,Đang xử lý,2026-03-24 07:02:07
9,9,Xác nhận,2026-05-20 03:49:07
10,10,Đang xử lý,2026-04-11 18:35:07
11,11,Đang xử lý,2026-04-23 18:35:07
12,12,Đang xử lý,2026-04-27 16:35:07
13,13,Đang chuẩn bị,2026-03-12 02:54:07
14,14,Đang xử lý,2026-05-08 02:31:07
15,15,Đã hủy,2026-03-17 01:33:07
16,16,Đang xử lý,2026-06-01 02:01:07
17,17,Đang giao,2026-04-11 12:08:07
18,18,Đã giao,2026-03-23 10:03:07
19,19,Xác nhận,2026-05-14 12:04:07
20,20,Đang xử lý,2026-04-07 13:52:07
21,21,Xác nhận,2026-05-04 03:15:07
22,22,Xác nhận,2026-04-21 00:40:07
23,23,Đang chuẩn bị,2026-03-07 04:11:07
24,24,Đang chuẩn bị,2026-03-07 07:58:07
25,25,Đang giao,2026-06-03 04:23:07
26,26,Đang xử lý,2026-05-18 06:18:07
27,27,Đang xử lý,2026-04-20 10:13:07
28,28,Đã giao,2026-05-17 19:53:07
29,29,Xác nhận,2026-04-11 03:55:07
30,30,Đang xử lý,2026-03-11 16:47:07
31,31,Đang chuẩn bị,2026-03-24 19:05:07
32,32,Đang xử lý,2026-03-19 13:50:07
33,33,Xác nhận,2026-03-15 18:23:07
34,34,Xác nhận,2026-04-11 14:21:07
35,35,Đang chuẩn bị,2026-04-01 11:53:07
36,36,Đang xử lý,2026-04-04 22:32:07
37,37,Đang giao,2026-04-01 21:18:07
38,38,Đang chuẩn bị,2026-06-01 12:38:07
39,39,Đang xử lý,2026-05-18 18:37:07
40,40,Đã giao,2026-04-09 03:39:07
41,41,Đã giao,2026-04-28 09:31:07
42,42,Đang chuẩn bị,2026-05-20 22:44:07
43,43,Đã giao,2026-03-19 18:41:07
44,44,Đang xử lý,2026-05-28 18:11:07
45,45,Đang xử lý,2026-03-18 05:55:07
46,46,Đang xử lý,2026-04-09 13:09:07
47,47,Đang giao,2026-04-19 00:26:07
48,48,Đang xử lý,2026-05-17 17:32:07
49,49,Đang chuẩn bị,2026-03-12 08:11:07
50,50,Đã hủy,2026-03-10 08:29:07
51,51,Đang giao,2026-04-28 07:09:07
52,52,Đang xử lý,2026-05-31 06:07:07
53,53,Đang chuẩn bị,2026-05-16 22:52:07
54,54,Đang xử lý,2026-04-24 00:09:07
55,55,Đang xử lý,2026-05-30 07:14:07
56,56,Đã hủy,2026-05-07 00:11:07
57,57,Xác nhận,2026-05-20 19:47:07
58,58,Đang xử lý,2026-05-25 04:57:07
59,59,Đang xử lý,2026-03-25 18:27:07
60,60,Đã giao,2026-04-20 13:56:07
61,61,Đã giao,2026-04-12 22:28:07
62,62,Đang giao,2026-04-07 06:22:07
63,63,Đang xử lý,2026-05-13 14:41:07
64,64,Đã giao,2026-04-29 09:01:07
65,65,Đã giao,2026-06-01 07:10:07
66,66,Đang xử lý,2026-04-01 07:58:07
67,67,Đang xử lý,2026-03-24 20:38:07
68,68,Đã giao,2026-04-02 09:23:07
69,69,Đang chuẩn bị,2026-05-04 21:11:07
70,70,Đang giao,2026-05-21 12:25:07
71,71,Đang chuẩn bị,2026-04-24 10:10:07
72,72,Đang giao,2026-05-20 22:40:07
73,73,Đang xử lý,2026-05-10 12:48:07
74,74,Đang giao,2026-05-30 13:12:07
75,75,Đang xử lý,2026-05-01 16:36:07
76,76,Đang chuẩn bị,2026-06-02 08:26:07
77,77,Đã hủy,2026-03-26 19:07:07
78,78,Đang chuẩn bị,2026-05-25 13:51:07
79,79,Đã giao,2026-04-30 20:38:07
80,80,Đang chuẩn bị,2026-05-20 12:12:07
81,81,Đang chuẩn bị,2026-04-17 23:35:07
82,82,Xác nhận,2026-05-16 02:30:07
83,83,Đang xử lý,2026-04-11 00:02:07
84,84,Đang xử lý,2026-03-24 15:40:07
85,85,Xác nhận,2026-06-04 08:49:07
86,86,Đang xử lý,2026-04-15 19:46:07
87,87,Đang chuẩn bị,2026-04-09 21:34:07
88,88,Đang xử lý,2026-04-26 08:08:07
89,89,Đã giao,2026-04-04 22:32:07
90,90,Đã giao,2026-05-20 17:12:07
91,91,Xác nhận,2026-03-10 21:44:07
92,92,Đang giao,2026-04-13 11:30:07
93,93,Đang xử lý,2026-05-24 12:39:07
94,94,Đang giao,2026-05-19 08:29:07
95,95,Đang chuẩn bị,2026-04-20 22:04:07
96,96,Đang giao,2026-03-31 23:28:07
97,97,Đang xử lý,2026-04-16 19:46:07
98,98,Đang giao,2026-04-08 22:36:07
99,99,Đang xử lý,2026-05-06 01:38:07
100,100,Đang xử lý,2026-04-23 16:23:07
101,101,Đang xử lý,2026-05-04 13:14:07
102,102,Đang chuẩn bị,2026-03-28 16:03:07
103,103,Đang xử lý,2026-05-08 09:06:07
104,104,Đang giao,2026-04-14 18:04:07
105,105,Đã giao,2026-04-19 14:14:07
106,106,Đã giao,2026-03-05 23:59:07
107,107,Đang xử lý,2026-04-28 17:21:07
108,108,Đang giao,2026-03-15 02:41:07
109,109,Xác nhận,2026-06-02 12:58:07
110,110,Đang xử lý,2026-04-10 08:58:07
111,111,Xác nhận,2026-03-15 08:34:07
112,112,Đang xử lý,2026-04-09 13:49:07
113,113,Đang chuẩn bị,2026-04-21 15:44:07
114,114,Xác nhận,2026-06-02 08:05:07
115,115,Đã giao,2026-04-14 01:20:07
116,116,Đang chuẩn bị,2026-03-28 05:55:07
117,117,Đang giao,2026-03-09 14:39:07
118,118,Đã giao,2026-04-23 23:07:07
119,119,Đã giao,2026-05-15 03:17:07
120,120,Xác nhận,2026-03-08 22:41:07
121,121,Đang giao,2026-04-13 01:33:07
122,122,Đang xử lý,2026-04-14 18:52:07
123,123,Đang giao,2026-03-22 14:48:07
124,124,Đang giao,2026-04-23 03:42:07
125,125,Đang xử lý,2026-03-08 13:50:07
126,126,Đã hủy,2026-03-14 13:20:07
127,127,Đang xử lý,2026-05-19 22:10:07
128,128,Đã hủy,2026-05-28 03:06:07
