item_id,restaurant_id,name,price,image_url,is_available
1,1,Khăn lạnh,2000.0,,1
2,1,Bún riêu,50000.0,,1
3,1,Pate thêm,15000.0,,0
4,1,Cà phê đen,25000.0,,1
5,1,Cơm gà xối mỡ,75000.0,,1
6,1,Hải sản hấp,70000.0,,1
7,1,Quẩy nóng,15000.0,,1
8,1,Canh rong biển,5000.0,,1
9,2,Coca Cola,29000.0,,1
10,2,Pate thêm,15000.0,,1
11,2,Nước ép cam,31000.0,,1
12,2,Bún riêu,35000.0,,0
13,2,Trà sữa trân châu,13000.0,,1
14,2,Bún chả Hà Nội,35000.0,,1
15,2,Trà đá,9000.0,,1
16,2,Quẩy nóng,5000.0,,1
17,2,Hải sản hấp,60000.0,,1
18,2,Bánh mì thịt nướng,60000.0,,1
19,3,Trứng ốp la,10000.0,,1
20,3,Xôi mặn,35000.0,,1
21,3,Bánh mì thịt nướng,45000.0,,1
22,3,Nước ép cam,31000.0,,1
23,3,Canh rong biển,10000.0,,1
24,3,Mì Quảng,50000.0,,1
25,3,Thêm chả lụa,10000.0,,1
26,3,Trà sữa trân châu,10000.0,,1
27,3,Cơm gà xối mỡ,35000.0,,1
28,4,Bánh mì thêm,15000.0,,0
29,4,Cà phê đen,16000.0,,1
30,4,Canh rong biển,15000.0,,1
31,4,Bún riêu,50000.0,,1
32,4,Trứng ốp la,10000.0,,1
33,4,Xôi mặn,65000.0,,1
34,4,Hải sản hấp,50000.0,,1
35,4,Trà sữa trân châu,29000.0,,1
36,4,Thịt nướng thêm,15000.0,,0
37,5,Canh rong biển,10000.0,,1
38,5,Bún chả Hà Nội,40000.0,,1
39,5,Nước ép cam,17000.0,,1
40,5,Pate thêm,5000.0,,1
41,5,Thịt nướng thêm,10000.0,,0
42,5,Coca Cola,10000.0,,1
43,5,Cà phê đen,17000.0,,1
44,5,Khăn lạnh,7000.0,,1
45,6,Bún riêu,45000.0,,1
46,6,Nước ép cam,25000.0,,1
47,6,Bánh mì thêm,15000.0,,1
48,6,Trà đá,6000.0,,1
49,6,Trà sữa trân châu,23000.0,,1
50,6,Phở bò tái,55000.0,,1
51,6,Coca Cola,19000.0,,1
52,6,Trân châu trắng,15000.0,,1
53,6,Cơm tấm sườn bì chả,50000.0,,1
54,6,Canh rong biển,5000.0,,1
55,6,Quẩy nóng,10000.0,,1
56,6,Mì Quảng,35000.0,,1
57,7,Bún chả Hà Nội,75000.0,,1
58,7,Bánh mì thịt nướng,50000.0,,1
59,7,Thêm chả lụa,10000.0,,1
60,7,Quẩy nóng,5000.0,,1
61,7,Bánh mì thêm,15000.0,,0
62,7,Cà phê đen,15000.0,,1
63,7,Trà sữa trân châu,16000.0,,1
64,7,Trân châu trắng,10000.0,,1
65,7,Bún riêu,65000.0,,1
66,7,Trứng ốp la,5000.0,,1
67,7,Gỏi cuốn,70000.0,,1
68,7,Thịt nướng thêm,15000.0,,1
69,7,Trà đá,32000.0,,1
70,8,Bánh mì thêm,5000.0,,1
71,8,Khăn lạnh,19000.0,,1
72,8,Quẩy nóng,5000.0,,1
73,8,Cơm gà xối mỡ,50000.0,,1
74,8,Mì Quảng,35000.0,,1
75,8,Cà phê đen,10000.0,,1
76,8,Trà sữa trân châu,28000.0,,1
77,8,Trân châu trắng,15000.0,,1
78,8,Thêm chả lụa,5000.0,,1
79,8,Trà đá,16000.0,,1
80,8,Thịt nướng thêm,15000.0,,1
81,8,Cơm tấm sườn bì chả,65000.0,,1
82,9,Pate thêm,10000.0,,1
83,9,Trà đá,25000.0,,0
84,9,Coca Cola,5000.0,,1
85,9,Thịt nướng thêm,10000.0,,1
86,9,Trân châu trắng,5000.0,,1
87,9,Bánh mì thêm,5000.0,,1
88,9,Nước ép cam,20000.0,,1
89,9,Hải sản hấp,45000.0,,1
90,9,Cơm tấm sườn bì chả,45000.0,,1
91,9,Khăn lạnh,9000.0,,1
92,9,Thêm chả lụa,10000.0,,1
93,9,Cà phê đen,30000.0,,1
94,9,Cơm gà xối mỡ,45000.0,,1
95,10,Coca Cola,21000.0,,1
96,10,Trứng ốp la,5000.0,,1
97,10,Quẩy nóng,10000.0,,1
98,10,Cơm tấm sườn bì chả,70000.0,,0
99,10,Cà phê đen,11000.0,,1
100,10,Bánh mì thêm,15000.0,,1
101,10,Trân châu trắng,15000.0,,1
102,10,Bún riêu,55000.0,,1
103,11,Trà đá,9000.0,,1
