detail_id,order_id,item_id,quantity,note
1,1,225,2,
2,1,220,2,
3,2,58,2,Thêm đồ ăn phụ
4,2,69,1,Nhiều nước
5,3,465,1,
6,4,78,3,Không hành
7,5,87,3,Thêm đồ ăn phụ
8,6,527,3,Thêm đồ ăn phụ
9,7,192,2,
10,7,189,2,Không hành
11,7,191,1,Thêm đồ ăn phụ
12,8,253,1,
13,8,250,2,
14,8,260,3,Thêm đồ ăn phụ
15,9,528,2,Không hành
16,9,530,1,
17,9,524,2,Nhiều nước
18,9,523,1,Thêm đồ ăn phụ
19,10,412,1,
20,10,423,2,
21,10,416,1,Nhiều nước
22,11,230,1,Thêm đồ ăn phụ
23,11,233,3,
24,11,229,1,Không hành
25,11,231,1,
26,12,265,1,
27,13,187,3,Nhiều nước
28,13,188,3,Nhiều nước
29,13,191,3,
30,13,198,3,Không hành
31,14,168,1,Không hành
32,15,562,3,
33,15,560,1,Không hành
34,15,556,2,Nhiều nước
35,16,413,1,Nhiều nước
36,17,256,1,Nhiều nước
37,17,254,2,Thêm đồ ăn phụ
38,17,260,1,
39,17,253,3,Nhiều nước
40,18,377,1,
41,19,521,3,Thêm đồ ăn phụ
42,20,453,3,
43,20,456,1,Không hành
44,21,42,2,
45,22,500,1,Thêm đồ ăn phụ
46,22,499,3,Thêm đồ ăn phụ
47,23,215,1,Nhiều nước
48,23,218,1,Không hành
49,23,222,2,Nhiều nước
50,23,214,1,Không hành
51,24,273,2,Nhiều nước
52,24,278,3,Nhiều nước
53,24,276,2,Thêm đồ ăn phụ
54,24,277,1,
55,25,258,3,Thêm đồ ăn phụ
56,25,250,3,Không hành
57,25,255,2,Nhiều nước
58,25,259,2,
59,26,76,2,
60,27,565,2,
61,27,564,2,Không hành
62,28,182,3,Thêm đồ ăn phụ
63,29,222,1,Không hành
64,29,216,3,Nhiều nước
65,29,220,3,Thêm đồ ăn phụ
66,29,223,3,Thêm đồ ăn phụ
67,30,48,2,Không hành
68,30,54,3,Thêm đồ ăn phụ
69,30,53,1,Nhiều nước
70,31,66,1,
71,31,64,3,
72,31,62,3,Không hành
73,32,467,3,Không hành
74,32,464,1,
75,33,317,1,Thêm đồ ăn phụ
76,33,318,3,Nhiều nước
77,33,313,3,
78,34,511,2,Thêm đồ ăn phụ
79,34,508,2,Nhiều nước
80,34,514,3,
81,35,26,2,
