payment_id,order_id,amount,method,status
1,1,40000.0,VNPAY,COMPLETED
2,2,132000.0,MOMO,COMPLETED
3,3,12000.0,VNPAY,COMPLETED
4,4,15000.0,COD,PENDING
5,5,15000.0,MOMO,COMPLETED
6,6,210000.0,MOMO,COMPLETED
7,7,86000.0,VNPAY,COMPLETED
8,8,169000.0,COD,PENDING
9,9,38000.0,VNPAY,PENDING
10,10,182000.0,MOMO,PENDING
11,11,105000.0,MOMO,PENDING
12,12,40000.0,MOMO,COMPLETED
13,13,360000.0,MOMO,COMPLETED
14,14,75000.0,MOMO,PENDING
15,15,50000.0,MOMO,PENDING
16,16,58500.0,VNPAY,PENDING
17,17,194000.0,COD,PENDING
18,18,15000.0,COD,COMPLETED
19,19,120000.0,VNPAY,PENDING
20,20,94000.0,VNPAY,PENDING
21,21,20000.0,COD,COMPLETED
22,22,105000.0,VNPAY,PENDING
23,23,172000.0,COD,COMPLETED
24,24,165000.0,VNPAY,PENDING
25,25,400000.0,COD,PENDING
26,26,56000.0,MOMO,COMPLETED
27,27,110000.0,VNPAY,COMPLETED
28,28,30000.0,COD,COMPLETED
29,29,243750.0,MOMO,PENDING
30,30,77000.0,VNPAY,PENDING
31,31,80000.0,COD,PENDING
32,32,140000.0,COD,PENDING
33,33,213300.0,COD,COMPLETED
34,34,415000.0,MOMO,PENDING
35,35,41250.0,VNPAY,COMPLETED
36,36,40000.0,COD,PENDING
37,37,76000.0,MOMO,COMPLETED
38,38,299200.0,COD,PENDING
39,39,252000.0,MOMO,COMPLETED
40,40,90000.0,MOMO,COMPLETED
41,41,39000.0,VNPAY,COMPLETED
42,42,55000.0,MOMO,COMPLETED
43,43,75000.0,COD,COMPLETED
44,44,170000.0,COD,PENDING
45,45,82650.0,COD,PENDING
46,46,31000.0,COD,PENDING
47,47,214700.0,VNPAY,PENDING
48,48,40000.0,VNPAY,PENDING
49,49,128000.0,VNPAY,COMPLETED
50,50,56000.0,VNPAY,PENDING
51,51,104000.0,MOMO,PENDING
52,52,90000.0,VNPAY,COMPLETED
53,53,95000.0,COD,PENDING
54,54,97000.0,VNPAY,PENDING
55,55,145000.0,COD,COMPLETED
56,56,108000.0,VNPAY,COMPLETED
57,57,330000.0,MOMO,COMPLETED
58,58,285000.0,VNPAY,COMPLETED
59,59,31000.0,MOMO,COMPLETED
60,60,195000.0,VNPAY,COMPLETED
61,61,120000.0,VNPAY,COMPLETED
62,62,11000.0,MOMO,PENDING
63,63,365000.0,VNPAY,COMPLETED
64,64,34000.0,COD,COMPLETED
65,65,32000.0,MOMO,COMPLETED
66,66,238000.0,MOMO,COMPLETED
67,67,17000.0,VNPAY,PENDING
68,68,82000.0,COD,COMPLETED
69,69,137700.0,MOMO,COMPLETED
70,70,154000.0,MOMO,COMPLETED
71,71,268000.0,MOMO,PENDING
72,72,360000.0,MOMO,PENDING
73,73,25000.0,VNPAY,PENDING
74,74,151000.0,MOMO,PENDING
75,75,100000.0,COD,PENDING
76,76,130000.0,MOMO,PENDING
77,77,340000.0,MOMO,PENDING
78,78,75000.0,VNPAY,COMPLETED
79,79,265000.0,VNPAY,COMPLETED
80,80,182000.0,MOMO,COMPLETED
