review_id,user_id,restaurant_id,rating,comment,created_at
1,3,2,3,Các của sẽ để đi như.,2025-08-25 17:00:07
2,4,44,1,Giống sau khi điều được rất làm nơi là.,2026-01-29 17:00:07
3,4,49,5,Trong đang đã về về đang.,2025-07-06 17:00:07
4,4,9,3,Lớn nếu chỉ vậy tôi của.,2025-08-18 17:00:07
5,7,14,2,Trong đang mà dưới là sẽ.,2025-11-25 17:00:07
6,11,36,4,Trong cái về để chưa giữa tại.,2026-05-14 17:00:07
7,11,1,4,Nhiều đi có để giữa mà.,2025-07-22 17:00:07
8,11,19,2,Đi chưa tại tại mà vậy như đã sẽ.,2026-06-04 17:00:07
9,13,18,5,Nơi trong đúng đi thì rất.,2026-01-27 17:00:07
10,13,44,4,Bên bên đúng giữa.,2025-12-07 17:00:07
11,13,41,2,Khiến về là vẫn từng để nơi.,2025-08-09 17:00:07
12,14,19,1,Để với một của vì giữa theo của người số.,2026-03-14 17:00:07
13,14,48,5,Đã chỉ của gần làm nơi khiến.,2025-08-20 17:00:07
14,17,9,5,Như cho nếu sẽ theo.,2026-01-12 17:00:07
15,18,14,5,Tại để như và đúng như tại vì tại để.,2025-09-19 17:00:07
16,18,21,3,Sẽ thế lớn có chưa cũng thay trong không của.,2025-07-14 17:00:07
17,20,29,3,Giống từ theo nào nơi dưới được tại đang đi làm.,2026-01-30 17:00:07
18,21,21,3,Theo nơi từ bạn vì gần số thế bạn nhiều.,2026-02-17 17:00:07
19,25,42,1,Thế của sau vậy để chưa khi điều như.,2025-07-28 17:00:07
20,27,44,2,Trong sau sẽ để bạn với.,2025-11-05 17:00:07
21,27,36,4,Điều tự sẽ vậy được.,2025-11-15 17:00:07
22,27,35,1,Sau đúng để hơn tôi từng.,2025-07-07 17:00:07
23,28,35,1,Đi đúng trong nơi tự tại để nếu trong.,2025-06-26 17:00:07
24,31,25,5,Hơn như bạn bạn từ sau cái số.,2025-12-03 17:00:07
25,31,25,2,Nhiều thì của gần sau.,2025-06-13 17:00:07
26,31,1,1,Mỗi không đến theo.,2025-10-11 17:00:07
27,35,49,3,Đó nhưng mà từ khiến của vẫn vì.,2025-06-21 17:00:07
28,36,23,2,Cũng này được tại hơn tại nhiều.,2026-04-19 17:00:07
29,36,40,3,Trong cũng từng chỉ theo.,2026-02-11 17:00:07
30,36,15,4,Có có có khi với vì đang tại như như.,2025-12-01 17:00:07
31,39,39,2,Như như vài lớn từ vì được cách.,2026-06-01 17:00:07
32,41,26,1,Từ mỗi điều cho trong chưa hoặc.,2026-01-13 17:00:07
33,41,37,5,Từng về trong giống sẽ được đã về.,2025-09-25 17:00:07
34,44,44,5,Vậy hoặc theo giống đó với.,2025-08-19 17:00:07
35,47,9,3,Nhưng của của như có từ mà lớn.,2025-08-17 17:00:07
36,48,34,3,Từng như được cách đang.,2026-02-26 17:00:07
37,48,44,1,Dưới khiến lớn nhiều trong với của để.,2025-06-15 17:00:07
38,49,40,3,Lớn tại đi người như.,2025-06-21 17:00:07
39,52,42,1,Mỗi tại thay từ trong được người lớn rất.,2025-12-21 17:00:07
40,52,28,4,Thay nào đang vẫn cũng cái được trong để.,2026-01-15 17:00:07
41,52,8,5,Vậy được rất đến trong lớn thì như chưa trong.,2025-10-09 17:00:07
42,56,4,3,Sẽ người là vài bên trong.,2025-11-01 17:00:07
