voucher_id,code,discount_percent,max_discount_amount,min_order_amount,expiry_date,max_uses,used_count
1,VCHREOYY1,5,10000.0,200000.0,2026-12-21 17:00:07,100,25
2,VCHRIGBM2,25,100000.0,0.0,2026-10-01 17:00:07,50,10
3,VCHRHGRA3,15,200000.0,50000.0,2027-03-03 17:00:07,10,5
4,VCHRJMGL4,10,50000.0,20000.0,2027-05-21 17:00:07,500,228
5,VCHRENMC5,25,30000.0,50000.0,2027-01-31 17:00:07,10,4
6,VCHRYIGW6,15,100000.0,200000.0,2026-12-12 17:00:07,10,1
7,VCHRHFEQ7,25,200000.0,30000.0,2027-01-01 17:00:07,10,1
8,VCHRIMIA8,15,10000.0,30000.0,2027-01-12 17:00:07,50,18
9,VCHRXRPB9,25,50000.0,20000.0,2027-05-04 17:00:07,10,2
10,VCHRHAXC10,15,200000.0,0.0,2026-11-20 17:00:07,500,22
11,VCHRSHBO11,20,20000.0,30000.0,2027-02-20 17:00:07,100,13
12,VCHRZEYX12,25,30000.0,20000.0,2026-08-30 17:00:07,100,50
13,VCHRYWLZ13,5,20000.0,0.0,2027-02-16 17:00:07,10,3
14,VCHRVWSK14,25,20000.0,20000.0,2026-12-25 17:00:07,500,187
15,VCHRGBIQ15,25,30000.0,30000.0,2026-09-15 17:00:07,10,4
16,VCHREXOF16,10,20000.0,200000.0,2026-07-22 17:00:07,500,99
17,VCHRSMIA17,25,10000.0,0.0,2026-12-10 17:00:07,10,5
18,VCHRQMAT18,25,10000.0,30000.0,2027-02-28 17:00:07,10,0
19,VCHRVYAK19,25,200000.0,200000.0,2026-12-10 17:00:07,10,4
20,VCHRHHHA20,15,200000.0,20000.0,2026-12-15 17:00:07,50,6
21,EXPIRED,25,50000.0,50000.0,2025-04-30 17:00:07,100,0
22,EXHAUSTED,15,30000.0,30000.0,2027-06-04 17:00:07,10,10
